nom;amendements_adoptes;amendements_proposes;amendements_signes;commission_interventions;commission_presences;hemicycle_interventions;hemicycle_interventions_courtes;propositions_ecrites;propositions_signees;questions_ecrites;questions_orales;rapports;semaines_presence;mois;annee;DEPSIR
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2019;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2019;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2019;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2019;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2019;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2019;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2019;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2019;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2020;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2020;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2020;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2020;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2020;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2020;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2020;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2020;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2020;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2020;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2020;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2020;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2021;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2021;6206
Christophe Leclercq;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2021;6206
